Parameter,Outcome,delta_raw_2800,delta_2800,delta_conf_2800,S1_2800,S1_conf_2800,delta_2800_norm
Wind offshore Costs,SynFuel Production 2050,0.0837782161543577,0.0837782161543577,0.006256129708553733,0.0,0.0,0.07296464571421477
Wind offshore Potential,SynFuel Production 2050,0.09543534203836797,0.09543534203836797,0.005619668840401387,0.0,0.0,0.1358025525155645
Solar PV Costs,SynFuel Production 2050,0.0804069841374893,0.0804069841374893,0.005323999098934774,0.0,0.0,0.054791970443350727
Solar PV Potential,SynFuel Production 2050,0.07024246833160332,0.07024246833160332,0.005432469047385243,0.0,0.0,0.0
Nuclear Costs,SynFuel Production 2050,0.08351547321617589,0.08351547321617589,0.005539904858947488,0.0,0.0,0.07154832608050234
Nuclear Potential,SynFuel Production 2050,0.08475782343619315,0.08475782343619315,0.005668767747204878,0.0,0.0,0.07824523302968116
Hydrogen Import Potential,SynFuel Production 2050,0.08473895884095561,0.08473895884095561,0.005227131535482361,0.0,0.0,0.07814354315439147
Hydrogen Import Price,SynFuel Production 2050,0.08772474686308565,0.08772474686308565,0.006203396695292701,0.0,0.0,0.09423847695969138
Biomass Import Potential,SynFuel Production 2050,0.0899604568931736,0.0899604568931736,0.005565514400725765,0.0,0.0,0.10629010442802056
Biomass Import Price,SynFuel Production 2050,0.10286262907935681,0.10286262907935681,0.007018091137449218,0.0,0.0,0.1758394514486633
Ammonia Import Potential,SynFuel Production 2050,0.09176981393596037,0.09176981393596037,0.006340578273711913,0.0,0.0,0.11604346991075543
Ammonia Import Price,SynFuel Production 2050,0.09873039842265596,0.09873039842265596,0.007458612426585686,0.0,0.0,0.15356460192991386
CCS potential,SynFuel Production 2050,0.12949516095148067,0.12949516095148067,0.010116751197425533,0.0,0.0,0.3194025022655057
Flexibility Costs,SynFuel Production 2050,0.08652367788838872,0.08652367788838872,0.006286981570599321,0.0,0.0,0.08776409716445197
LNG Price,SynFuel Production 2050,0.09155842669606601,0.09155842669606601,0.006728227816796847,0.0,0.0,0.1149039839163821
Electricity Trade Price,SynFuel Production 2050,0.0924920169293104,0.0924920169293104,0.004706847727924764,0.0,0.0,0.1199365156614266
Weather Conditions,SynFuel Production 2050,0.08497269619979202,0.08497269619979202,0.0059446985446758175,0.0,0.0,0.07940350779033162
Electricity Trade Ratio,SynFuel Production 2050,0.08774174401526197,0.08774174401526197,0.005478929224569227,0.0,0.0,0.0943301003559703
Electricity Trade Volume,SynFuel Production 2050,0.08816088639683599,0.08816088639683599,0.005853316810667066,0.0,0.0,0.09658949346640854
WACC,SynFuel Production 2050,0.08528190061497344,0.08528190061497344,0.005732892746420924,0.0,0.0,0.08107027869227301
Bunker Emission Reduction,SynFuel Production 2050,0.25575351536348634,0.25575351536348634,0.012315097323044064,0.0,0.0,1.0
End-of-Life Emission Reduction,SynFuel Production 2050,0.08079017242211652,0.08079017242211652,0.006089079046482634,0.0,0.0,0.0568575524707184
CO2 Cap,Weekly Flexibility Capacity 2050,0.11829159899264248,0.11829159899264248,0.007376509031165047,0.0,0.0,0.13738018524260953
Buildings demand,Weekly Flexibility Capacity 2050,0.11618054062925667,0.11618054062925667,0.007873094582097687,0.0,0.0,0.1254905984914569
Steel Production,Weekly Flexibility Capacity 2050,0.10643750890211758,0.10643750890211758,0.008468588385654017,0.0,0.0,0.0706173543651019
Chemical Production,Weekly Flexibility Capacity 2050,0.12819661753645695,0.12819661753645695,0.008054604925965386,0.0,0.0,0.19316574725785318
Passenger Cars,Weekly Flexibility Capacity 2050,0.1160479489704146,0.1160479489704146,0.0077382932211324225,0.0,0.0,0.12474383560814478
Bunker aviation,Weekly Flexibility Capacity 2050,0.11988598710084235,0.11988598710084235,0.007979102864516701,0.0,0.0,0.1463598591617356
